"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2015","46.6"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2016","47.9"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2017","46.7"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2018","45.6"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2019","44.7"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2020","46.9"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2021","47.8"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2022","45.1"
"USC00470308","ARLINGTON, WI US","43.30417","-89.3453","320.6","2023",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2015",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2016",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2017",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2018",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2019",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2020",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2021",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2022",
"USW00004825","APPLETON OUTAGAMIE CO AIRPORT, WI US","44.26667","-88.51667","279.5","2023",
"USC00470516","BARABOO WWTP, WI US","43.45827","-89.72691","247.8","2015","46.9"
"USC00470516","BARABOO WWTP, WI US","43.45827","-89.72691","247.8","2016","47.8"
"USC00470516","BARABOO WWTP, WI US","43.45827","-89.72691","247.8","2017",
"USC00470516","BARABOO WWTP, WI US","43.45827","-89.72691","247.8","2018","46.4"
"USC00470516","BARABOO WWTP, WI US","43.45827","-89.72691","247.8","2019","45.4"
"USC00470516","BARABOO WWTP, WI US","43.45827","-89.72691","247.8","2020","47.2"
