STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TAVG_2015,TAVG_2016,TAVG_2017,TAVG_2018,TAVG_2019,TAVG_2020,TAVG_2021
USC00470045,"AFTON JANESVILLE WWTP, WI US",42.63753,-89.06424,232.3,47.6,50.2,49.5,47.2,46.5,48.6,49.3
USC00470124,"ALMA DAM 4, WI US",44.32684,-91.91933,204.2,49.5,50.8,49.1,47.2,44.2,46.9,48.1
USC00470175,"AMERY, WI US",45.301,-92.363,326.1,45.2,46.2,44.5,42.5,41.3,44.4,45.2
USC00470265,"APPLETON, WI US",44.27703,-88.43772,241.4,46.8,47.8,46.5,45.4,43.8,46.1,47.1
USC00470308,"ARLINGTON, WI US",43.30417,-89.3453,320.6,46.6,47.9,46.7,45.6,44.7,46.9,47.8
USC00470742,"BERLIN WWTP, WI US",43.99002,-88.94108,232.6,46.1,47.5,46.3,45,43.7,46.4,47
USC00470904,"BLOOMER, WI US",45.09084,-91.48664,302.4,44.5,45.8,44.1,42.2,41.4,44.1,45.5
USC00472425,"EAU CLAIRE 3 SW, WI US",44.7878,-91.5165,268.2,41.72,37.46,33.65,33.21,41.64,28.6,29.43
USC00472842,"FOND DU LAC 1 SW, WI US",43.7666,-88.46649,235.3,48,49.3,48.2,46.9,45.7,48.2,49.3
USC00473271,"GREEN BAY BOTANICAL, WI US",44.533,-88.098,211.5,33.71,34.28,34.02,37.98,52.37,34.58,32.67
USC00475091,"MARINETTE, WI US",45.09828,-87.62358,179.5,44.7,47.2,45.2,44.2,43,45.9,46.2
USC00478171,"STEVENS POINT, WI US",44.5115,-89.5853,328.9,45,46.5,44.6,43.7,42.6,45.4,46.1
USC00478905,"WASHINGTON IS, WI US",45.3582,-86.891,209.1,43.6,46.1,44,42.4,41.4,43.8,44.6
USC00479319,"WISCONSIN DELLS WWTP, WI US",43.60725,-89.76344,253.9,46.5,48,46.8,45.4,44.4,46.2,47
USR0000WBAR,"BARNES WISCONSIN, WI US",46.4,-91.5,368.8,42.4,43.4,41.4,40.6,39.3,42.2,39.8
USR0000WDDG,"DODGEVILLE WISCONSIN, WI US",43.1,-90,384,48.1,49.4,48.6,47.1,45.9,48,46.5
USW00004826,"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",44.35904,-89.83695,309.4,46.3,47.5,46,44.7,43.4,46.1,47
USW00014839,"MILWAUKEE MITCHELL AIRPORT, WI US",42.95489,-87.9045,203.3,48.6,50.9,50.6,48.8,47.9,50.6,51.8
USW00014898,"GREEN BAY A S INTERNATIONAL AIRPORT, WI US",44.47958,-88.1371,208.6,46.8,47.9,47,45.8,44.8,47,47.9
USW00014991,"CHIPPEWA VALLEY REGIONAL AIRPORT, WI US",44.86654,-91.48809,269.4,46,47.2,45.4,43.5,42.7,45.9,47.1
